"kind","bucket","name","ext","bytes","sha256","path"
"pdf","root","G0-Explanatory_Note.pdf",".pdf","370652","205074063E04390FEF4E23A6E5E86E0A0E48B528DDD666DDD618203B30115127","MAGNE.AI/assets/pdfs/G0-Explanatory_Note.pdf"
"pdf","root","G1-Regional.pdf",".pdf","90423","43425767BFFE87BE1847D84F0CE6C02415E623D2BC3B79A5793D55DEB1937164","MAGNE.AI/assets/pdfs/G1-Regional.pdf"
"pdf","root","G10-Android_Partner_Approvals.pdf",".pdf","1505676","9F4D5D43AC532BBD17BB855477F0952B2F6C54E33C5B561A6DF41A58A8C341E9","MAGNE.AI/assets/pdfs/G10-Android_Partner_Approvals.pdf"
"pdf","root","G11-Extended_Info.pdf",".pdf","169388","5BC4222FAB4DD75F14472671D5DC83AC63A26BFB96D99A716858FD8A0E890758","MAGNE.AI/assets/pdfs/G11-Extended_Info.pdf"
"pdf","root","G12-Reports.pdf",".pdf","201626","F7AAB7EE67AAA49B55E22F9F04EC6E529142E5B1877680362621F54AAA825534","MAGNE.AI/assets/pdfs/G12-Reports.pdf"
"pdf","root","G13-Tests.pdf",".pdf","358544","4B98A016C068C283FF2C9F5121DB4BEEC930F9D76FA91488B755FF1D540880DC","MAGNE.AI/assets/pdfs/G13-Tests.pdf"
"pdf","root","G14-deviceinfo.pdf",".pdf","80261","81E47AB7C647FD6E27E4E583B00B5F51D6B2416A889CA19A5356EF0394A0CCD4","MAGNE.AI/assets/pdfs/G14-deviceinfo.pdf"
"pdf","root","G15-SE.pdf",".pdf","241440","4B1D62DE540F1441D993C5231ACEB841ED22F7DC9F620E1768635909DE9A88A2","MAGNE.AI/assets/pdfs/G15-SE.pdf"
"pdf","root","G2-Worldwide.pdf",".pdf","106910","27CF0E46E6CA1A2A69713446026DED8A346B0F6A112B9D945CCFB8C7C3708AE4","MAGNE.AI/assets/pdfs/G2-Worldwide.pdf"
"pdf","root","G3-build.pdf",".pdf","43560","9770BA9751689BA84D07BBB668C0825698F3C65A90514C8F7DFF3C2277D92FBC","MAGNE.AI/assets/pdfs/G3-build.pdf"
"pdf","root","G4-Details.pdf",".pdf","55611","1F12D3912EA11B5738C82DE6E799DCD984296F8EFD2E356650908BF91149DF18","MAGNE.AI/assets/pdfs/G4-Details.pdf"
"pdf","root","G5-device.pdf",".pdf","39474","4E3A6291A483A802CB7321F5234C168AB1F99E7BED9A6752918BFCA28DF1A43B","MAGNE.AI/assets/pdfs/G5-device.pdf"
"pdf","root","G6-overview.pdf",".pdf","98670","4A332CA461BF5892EAE8055FEBB2910BED5542BFA6A4E2F4DEC362AD33E47CEC","MAGNE.AI/assets/pdfs/G6-overview.pdf"
"pdf","root","G7-product.pdf",".pdf","36423","786F3B1AA2B2A25C2A44CA33203F1CABBC8363F7AB23514F7EE79279C0C87109","MAGNE.AI/assets/pdfs/G7-product.pdf"
"pdf","root","G8-sublicense.pdf",".pdf","56960","A478D2F358A1F6E34CCCF1CB71B8CA881795BD97653A047173C1AA700D61D86B","MAGNE.AI/assets/pdfs/G8-sublicense.pdf"
