"sha256","count","bytes","kind","paths"
"98D65BE477E31D76E5CD8F786F816EA71E59270483C10A74CFFDB2BCFEB85CC0","2","347785","pdf","MAGNE.AI/assets/pdfs/fcc/2BVCPGC603606_Antenna Report II.pdf | MAGNE.AI/assets/pdfs/fcc/2BVCPGC603606_Antenna Report.pdf"
"009C9508B3CFB19127508CFF2321E8F4AF4C0C76280420943CAB831CEC0EB0CB","2","823200","pdf","MAGNE.AI/assets/pdfs/fcc/2BVCPGC603606_TestRpt_CXX_v1.pdf | MAGNE.AI/assets/pdfs/fcc/2BVCPGC603606_TestRpt_JBP_v1.pdf"
"2211C2032F0951181FD6CF117E41746A6119BBFD6454CEA4E53B3A9B7E5D8DA0","2","3173299","pdf","MAGNE.AI/assets/pdfs/un38/S45C-0i26020917430_0006.pdf | MAGNE.AI/assets/pdfs/un38/S45C-Air-Transport.pdf"
"1EA75C4217D0880FE103824BA8489DE56AE460E39A77FB9FADF181029866E03D","2","3093737","pdf","MAGNE.AI/assets/pdfs/un38/S45C-0i26020917430_0007.pdf | MAGNE.AI/assets/pdfs/un38/S45C-Sea-Transport.pdf"
"B329ECD578F998D305172FA7556B1942960CBDF3A9445EB2582DEBD510A637EA","4","3230","brand","MAGNE.AI/assets/brand/ecosystem/1zeni.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/1zeni.png | MAGNE.AI/assets/brand/partners/1zeni.png | MAGNE.AI/assets/brand/partners/ecosystem/1zeni.png"
"ECB90015E7820E7391901D98881BAC20A388B973BFDF0EFAC17CC251A2CA080A","4","31569","brand","MAGNE.AI/assets/brand/ecosystem/21dao.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/21dao.png | MAGNE.AI/assets/brand/partners/21dao.png | MAGNE.AI/assets/brand/partners/ecosystem/21dao.png"
"9D76DA597E770E34D7E23475A6E7E9B648D07DB91C8BB1A4E0886F75F5BAA696","4","6471","brand","MAGNE.AI/assets/brand/ecosystem/agentbay.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/agentbay.png | MAGNE.AI/assets/brand/partners/agentbay.png | MAGNE.AI/assets/brand/partners/ecosystem/agentbay.png"
"B06CEB8128668A62E8467DE9E3A87A6A48C97C50305F797CFDC7846E8B3016AB","2","4383","brand","MAGNE.AI/assets/brand/ecosystem/agentbay_web.png | MAGNE.AI/assets/brand/partners/ecosystem/agentbay_web.png"
"F26E16C5F1ADBAE8BE5C2816BB120F606422A1B2CD03340CFFFC82995285DA23","6","1865","brand","MAGNE.AI/assets/brand/ecosystem/aios-ventures.png | MAGNE.AI/assets/brand/ecosystem/aios.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/aios-ventures.png | MAGNE.AI/assets/brand/partners/aios-ventures.png | MAGNE.AI/assets/brand/partners/ecosystem/aios-ventures.png | MAGNE.AI/assets/brand/partners/ecosystem/aios.png"
"AED60A35ED8BB8DB516CA98AF595A60E0EF417DBA01D0E3FA6A86F6B779BA57A","3","68548","brand","MAGNE.AI/assets/brand/ecosystem/aios.jpg | MAGNE.AI/assets/brand/ecosystem/ecosystem/aios.jpg | MAGNE.AI/assets/brand/partners/ecosystem/aios.jpg"
"418F0946E470CDF6032D66F516C237AE32FBA0C22061118BFB875CBB0A0D7693","2","4630","brand","MAGNE.AI/assets/brand/ecosystem/aios_web.png | MAGNE.AI/assets/brand/partners/ecosystem/aios_web.png"
"29504E4BB327DCE8558B0496DCBF8D50518AEA00550CE618CE02C7F8EB4F7844","6","6520","brand","MAGNE.AI/assets/brand/ecosystem/ascendex.svg | MAGNE.AI/assets/brand/ecosystem/tag.svg | MAGNE.AI/assets/brand/ecosystem/ecosystem/tag.svg | MAGNE.AI/assets/brand/partners/tag.svg | MAGNE.AI/assets/brand/partners/ecosystem/ascendex.svg | MAGNE.AI/assets/brand/partners/ecosystem/tag.svg"
"E8AF1F0FE0BD955E5661FB0E4F0A65AAE79F11DE22E668ABE6AE5020062560A7","2","264","brand","MAGNE.AI/assets/brand/ecosystem/ascendex_web.png | MAGNE.AI/assets/brand/partners/ecosystem/ascendex_web.png"
"C64C96F68F15160F552095B3A1D34958F16FDFBA5D37AC85D82D9E7CA2B974C0","4","6342","brand","MAGNE.AI/assets/brand/ecosystem/attrace.svg | MAGNE.AI/assets/brand/ecosystem/ecosystem/attrace.svg | MAGNE.AI/assets/brand/partners/attrace.svg | MAGNE.AI/assets/brand/partners/ecosystem/attrace.svg"
"895A62342180295F20CC3FF66924B3A6C879283879FB214D671267E0E193F11C","2","4410","brand","MAGNE.AI/assets/brand/ecosystem/attRace_web.png | MAGNE.AI/assets/brand/partners/ecosystem/attRace_web.png"
"C867D29781CDBBC64A72CA23F99C4BF59305B9708F5EF8311D341E63A56D7CED","4","1413","brand","MAGNE.AI/assets/brand/ecosystem/avedex.png | MAGNE.AI/assets/brand/ecosystem/ecosystem/avedex.png | MAGNE.AI/assets/brand/partners/avedex.png | MAGNE.AI/assets/brand/partners/ecosystem/avedex.png"
"6F5A7B1114B53794BA827F0CE644A77DE72203AADA56908B9BCDF41F6861894B","3","5493","brand","MAGNE.AI/assets/brand/ecosystem/ave_ai.png | MAGNE.AI/assets/brand/partners/aveai2.png | MAGNE.AI/assets/brand/partners/ecosystem/ave_ai.png"
"1EEEB7426D0BCB777339138929B1C1FCC997C960EBA0B6F3FA0D66D19D0C4246","2","4618","brand","MAGNE.AI/assets/brand/ecosystem/ave_ai_web.png | MAGNE.AI/assets/brand/partners/ecosystem/ave_ai_web.png"
